0,AZ,73,6,2,,1,10082.15255,Beauty & Personal Care,107
-0.623617591,CA,1,1,3,0,0,133.9285714,"Shopping, Collectibles & Gifts (General)",79
0.007904951,NY,102,2,8,-0.292008094,0,3935.017462,"Personal Services (Weddings, Cleaners, etc.)",90
-0.104900281,MN,6,1,5,0.587205675,0,461.5384615,Travel,112
-0.013057184,NJ,34,1,6,-0.95533453,1,314.7058824,Health & Fitness,95
-0.099898426,WA,78,1,2,-0.246107646,0,1759.027113,"Shopping, Collectibles & Gifts (General)",92
-0.097933676,OH,72,2,1,0.111381786,0,1217.301833,Education & Instruction,91
-0.036812061,NY,6,1,4,-0.376697526,1,5376.736111,Business Services,118
0,MD,53,2,3,,0,2812.286923,Home & Home Improvement,113
-0.108221836,NY,45,1,6,-0.176777011,1,1178.372327,Education & Instruction,104
-0.870385845,ME,1,1,6,0,0,142.8571429,"Shopping, Collectibles & Gifts (General)",147
-0.104233917,VA,22,1,8,-0.430354403,0,478.1298981,Animals & Pets,37
-0.015416599,TX,29,1,7,-0.653485639,1,1408.545727,Home & Home Improvement,100
0.027800963,CA,18,1,1,-0.394614584,0,1672.796935,Dentists & Dental Services,117
-0.108466767,OR,12,1,6,-0.330840811,0,1246.141975,Physicians & Surgeons,80
-0.071209323,CA,54,1,7,-0.24160572,0,1236.948493,Home & Home Improvement,56
-0.01678128,MO,6,1,3,0.182208583,0,1645.878136,Home & Home Improvement,130
-0.062326729,TX,8,1,5,-0.833590931,1,625,Home & Home Improvement,85
-0.047605129,CA,22,1,7,-0.299533227,0,1636.829837,Home & Home Improvement,108
0.180727928,WA,12,2,4,0.377594573,0,3639.980843,Physicians & Surgeons,144
-0.09372811,AZ,40,2,0,0.011182923,0,2188.485295,Physicians & Surgeons,86
0,WA,36,4,1,,0,2257.655829,Home & Home Improvement,73
-0.08827192,WA,4,1,1,-0.428599528,0,403.8461538,"Automotive -- Repair, Service & Parts",58
-0.07786317,CA,42,2,8,0.190711209,0,4023.538871,Home & Home Improvement,125
-0.106348946,CA,48,3,2,0.157114885,0,1817.737031,Home & Home Improvement,87
-0.037026228,NY,16,1,7,-0.118420811,0,451.9047619,Health & Fitness,65
-0.045145135,IL,48,1,4,0.31480478,0,199.5737548,"Shopping, Collectibles & Gifts (General)",59
0.334965528,UT,15,3,8,0.262987328,1,3266.800831,Home & Home Improvement,63
-0.101997282,FL,44,2,4,0.121744539,0,1627.855143,Automotive -- For Sale,138
-0.106884923,CO,7,1,9,-0.112059316,1,3048.571429,Home & Home Improvement,74
-0.039546323,AZ,12,1,8,0.045994129,0,523.3333333,Sports & Recreation,121
-0.809630937,MD,1,1,7,0,0,144,"Shopping, Collectibles & Gifts (General)",96
-0.072173211,AZ,5,1,3,-0.154437024,0,2538.461538,Physicians & Surgeons,87
-0.109308463,NY,12,1,7,0.804892576,0,86.43410853,Business Services,67
-0.092992123,CO,96,2,6,0.449521281,0,1253.262877,Industrial & Commercial,99
0,CA,108,3,4,,0,510.8239402,Home & Home Improvement,132
-0.109832714,TX,90,2,0,-0.162291641,0,1260.014066,Sports & Recreation,82
-0.101849506,TX,62,1,0,0.179457818,0,751.8502877,"Personal Services (Weddings, Cleaners, etc.)",74
-0.075949424,IL,12,1,4,-0.185619524,0,3126.111111,Finance & Insurance,63
-0.026801895,MD,48,6,3,-0.221824217,0,2142.939839,Home & Home Improvement,154
-0.008715979,MD,11,1,1,-0.472772001,0,539.1233766,Animals & Pets,97
-0.102959126,GA,17,1,5,0.453373155,0,1189.542484,Dentists & Dental Services,127
0,GA,34,2,8,0,0,2784.575947,Physicians & Surgeons,48
-0.063649332,LA,12,1,2,-1,1,747.2222222,Real Estate,145
-0.099522304,MA,12,2,1,-0.779303989,0,750,Automotive -- For Sale,107
-0.077804667,NY,18,1,1,0.443905932,0,5752.671622,Dentists & Dental Services,134
0.520727315,PA,12,1,6,-0.992444499,0,459.8765432,Home & Home Improvement,71
